GUID;IDRESEAU;CODE_LIGNE;LIB_LIGNE;IDGAIA;RG_TRONCON;LIBELLE;LIB_GARE;PK;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
E957D028666711E3A7FF01F464E0362D;108996;177000;Ligne de Thionville à Anzeling;e957d028-6667-11e3-a7ff-01f464e0362d;1;;Kuntzig;005+896;935021.4610000029;6921524.2216;6.234602192195888;49.34993757027724;49.34993757027724, 6.234602192195888;49.34993757025764, 6.23460219219589;"{""coordinates"": [6.23460219219589, 49.34993757025764], ""type"": ""Point""}"
E580677C666711E3A7FF01F464E0362D;108975;172000;Ligne de Rémilly à Stiring-Wendel;e580677c-6667-11e3-a7ff-01f464e0362d;1;;Hombourg-Haut;034+452;975348.8448999971;6898386.256200001;6.773635089127413;49.12604976939751;49.12604976939751, 6.773635089127413;49.1260497693768, 6.773635089127416;"{""coordinates"": [6.773635089127416, 49.1260497693768], ""type"": ""Point""}"
E6B41822666711E3A7FF01F464E0362D;109244;909000;Ligne de Grenoble à Montmélian;e6b41822-6667-11e3-a7ff-01f464e0362d;1;;Montmélian;049+816;937551.043399997;6493867.181400001;6.042698465702096;45.50307550445294;45.50307550445294, 6.042698465702096;45.50307550443477, 6.042698465702098;"{""coordinates"": [6.042698465702098, 45.50307550443477], ""type"": ""Point""}"
E888FF4E666711E3A7FF01F464E0362D;131910;515000;Ligne de Tours à St-Nazaire;e888ff4e-6667-11e3-a7ff-01f464e0362d;1;La Possonnière;La Possonnière;358+415;421326.3672999963;6703273.605900001;-0.694128233635347;47.37112126804412;47.37112126804412, -0.6941282336353469;47.371121268031374, -0.6941282336353501;"{""coordinates"": [-0.69412823363535, 47.371121268031374], ""type"": ""Point""}"
E63CCF02666711E3A7FF01F464E0362D;108721;500000;Ligne de Chartres à Bordeaux-St-Jean;e63ccf02-6667-11e3-a7ff-01f464e0362d;2;;Bussac;563+955;435686.43090000004;6462592.998300001;-0.368016959084486;45.211919976183495;45.211919976183495, -0.36801695908448595;45.2119199761645, -0.3680169590844887;"{""coordinates"": [-0.368016959084489, 45.2119199761645], ""type"": ""Point""}"
E9614EB0666711E3A7FF01F464E0362D;132486;130000;Ligne de Lutterbach à Kruth;e9614eb0-6667-11e3-a7ff-01f464e0362d;1;;Vieux-Thann ZI;012+313;1009200.7311000004;6752735.5944;7.132385165273076;47.802181141270225;47.802181141270225, 7.132385165273076;47.80218114125875, 7.132385165273079;"{""coordinates"": [7.132385165273079, 47.80218114125875], ""type"": ""Point""}"
E94054DA666711E3A7FF01F464E0362D;109287;640000;Ligne de Bordeaux-St-Jean à Sète-Ville;e94054da-6667-11e3-a7ff-01f464e0362d;1;;Nissan;421+419;709512.3145999983;6244096.9287;3.117150980144055;43.29597657653931;43.29597657653931, 3.1171509801440545;43.295976576515315, 3.1171509801440545;"{""coordinates"": [3.117150980144054, 43.295976576515315], ""type"": ""Point""}"
E65287C4666711E3A7FF01F464E0362D;109234;259000;Ligne de St-Just-en-Chaussée à Douai;e65287c4-6667-11e3-a7ff-01f464e0362d;2;;Montdidier;100+155;668483.8625999987;6949269.386300001;2.563894631563374;49.641782047104556;49.641782047104556, 2.5638946315633735;49.641782047086366, 2.563894631563373;"{""coordinates"": [2.563894631563373, 49.641782047086366], ""type"": ""Point""}"
E9C48190666711E3A7FF01F464E0362D;136842;790000;Ligne de St-Germain-des-Fossés à Nîmes-CRB1;e9c48190-6667-11e3-a7ff-01f464e0362d;1;;Alès;674+164;786857.6634000018;6337157.363499999;4.085402014913279;44.128048545785354;44.128048545785354, 4.085402014913279;44.12804854576341, 4.08540201491328;"{""coordinates"": [4.08540201491328, 44.12804854576341], ""type"": ""Point""}"
E970CAA0666711E3A7FF01F464E0362D;108924;629000;Ligne de Libourne au Buisson;e970caa0-6667-11e3-a7ff-01f464e0362d;1;;Gardonne;594+390;489180.37569999695;6418617.922800001;0.331967638905795;44.834667775010615;44.834667775010615, 0.33196763890579467;44.83466777499056, 0.3319676389057923;"{""coordinates"": [0.331967638905792, 44.83466777499056], ""type"": ""Point""}"
