trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12221F3520741:2024-11-29T10:03:28Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12221F3520741:2024-11-29T10:03:28Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12221F3520741:2024-11-29T10:03:28Z,22:34:00,22:38:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12221F3520741:2024-11-29T10:03:28Z,23:13:00,23:16:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12221F3520741:2024-11-29T10:03:28Z,23:52:00,23:52:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12221F3520742:2024-11-29T10:03:28Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12221F3520742:2024-11-29T10:03:28Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12221F3520742:2024-11-29T10:03:28Z,22:34:00,22:38:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12221F3520742:2024-11-29T10:03:28Z,23:13:00,23:16:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12221F3520742:2024-11-29T10:03:28Z,23:52:00,23:52:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12221F3635069:2024-12-04T00:26:30Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12221F3635069:2024-12-04T00:26:30Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12221F3635069:2024-12-04T00:26:30Z,22:34:00,22:34:00,StopPoint:OCETGV INOUI-87586008,2,,1,0,
OCESN12250F3497111:2024-12-05T00:26:54Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F3497111:2024-12-05T00:26:54Z,10:55:00,10:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F3506671:2024-11-29T10:03:28Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F3506671:2024-11-29T10:03:28Z,10:55:00,10:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F3515501:2024-12-18T00:22:08Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F3515501:2024-12-18T00:22:08Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F3515502:2024-12-07T00:26:03Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F3515502:2024-12-07T00:26:03Z,10:49:00,10:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12251F3516694:2024-11-29T10:03:28Z,07:11:00,07:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12251F3516694:2024-11-29T10:03:28Z,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12251F3516695:2024-12-12T00:26:49Z,07:11:00,07:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12251F3516695:2024-12-12T00:26:49Z,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12251F3516696:2024-12-12T00:26:49Z,07:11:00,07:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12251F3516696:2024-12-12T00:26:49Z,09:14:00,09:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12252F3512853:2024-11-29T10:03:28Z,09:46:00,09:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12252F3512853:2024-11-29T10:03:28Z,11:55:00,11:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12252F3512854:2024-11-29T10:03:28Z,09:46:00,09:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12252F3512854:2024-11-29T10:03:28Z,11:55:00,11:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12252F3523226:2024-12-17T00:21:46Z,09:46:00,09:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12252F3523226:2024-12-17T00:21:46Z,11:49:00,11:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3517435:2024-12-12T00:26:49Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3517435:2024-12-12T00:26:49Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3517437:2024-12-12T00:26:49Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3517437:2024-12-12T00:26:49Z,12:49:00,12:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3532180:2024-12-05T00:26:54Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3532180:2024-12-05T00:26:54Z,12:55:00,12:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3601754:2024-12-05T00:26:54Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3601754:2024-12-05T00:26:54Z,12:55:00,12:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F3684887:2024-11-29T10:03:28Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F3684887:2024-11-29T10:03:28Z,12:55:00,12:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12255F3513338:2024-11-29T10:03:28Z,11:11:00,11:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12255F3513338:2024-11-29T10:03:28Z,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12255F3513339:2024-12-20T00:22:47Z,11:11:00,11:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12255F3513339:2024-12-20T00:22:47Z,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12256F3515532:2024-12-17T00:21:46Z,20:50:00,20:50:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12256F3515532:2024-12-17T00:21:46Z,22:53:00,22:53:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12256F3519174:2024-11-29T10:03:28Z,20:50:00,20:50:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12256F3519174:2024-11-29T10:03:28Z,22:59:00,22:59:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12258F3516061:2024-12-20T00:22:47Z,13:46:00,13:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12258F3516061:2024-12-20T00:22:47Z,15:49:00,15:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12258F3517589:2024-11-29T10:03:28Z,13:46:00,13:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12258F3517589:2024-11-29T10:03:28Z,15:55:00,15:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12259F3518973:2024-11-30T00:27:47Z,12:11:00,12:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12259F3518973:2024-11-30T00:27:47Z,14:14:00,14:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12259F3580406:2024-12-20T00:22:47Z,12:11:00,12:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12259F3580406:2024-12-20T00:22:47Z,14:14:00,14:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12260F3517049:2024-12-11T00:26:38Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517049:2024-12-11T00:26:38Z,15:24:00,15:27:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517049:2024-12-11T00:26:38Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3517050:2024-12-11T00:26:38Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517050:2024-12-11T00:26:38Z,15:24:00,15:27:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517050:2024-12-11T00:26:38Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3517051:2024-12-11T00:26:38Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517051:2024-12-11T00:26:38Z,15:24:00,15:27:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517051:2024-12-11T00:26:38Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3517052:2024-12-11T00:26:38Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517052:2024-12-11T00:26:38Z,15:24:00,15:27:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517052:2024-12-11T00:26:38Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3517053:2024-11-29T10:03:28Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517053:2024-11-29T10:03:28Z,15:24:00,15:27:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517053:2024-11-29T10:03:28Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3517204:2024-11-29T10:03:28Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517204:2024-11-29T10:03:28Z,15:22:00,15:25:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517204:2024-11-29T10:03:28Z,17:16:00,17:16:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3517205:2024-11-29T10:03:28Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517205:2024-11-29T10:03:28Z,15:22:00,15:25:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517205:2024-11-29T10:03:28Z,17:16:00,17:16:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3517499:2024-11-29T10:03:28Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517499:2024-11-29T10:03:28Z,15:24:00,15:27:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517499:2024-11-29T10:03:28Z,17:23:00,17:23:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3517558:2024-12-17T00:21:46Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517558:2024-12-17T00:21:46Z,15:20:00,15:23:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517558:2024-12-17T00:21:46Z,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3517559:2024-12-20T00:22:47Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517559:2024-12-20T00:22:47Z,15:20:00,15:23:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517559:2024-12-20T00:22:47Z,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3517560:2024-12-09T00:28:01Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3517560:2024-12-09T00:28:01Z,15:20:00,15:23:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3517560:2024-12-09T00:28:01Z,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3518832:2024-11-29T10:03:28Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3518832:2024-11-29T10:03:28Z,15:20:00,15:23:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3518832:2024-11-29T10:03:28Z,17:16:00,17:16:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3518833:2024-11-29T10:03:28Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3518833:2024-11-29T10:03:28Z,15:20:00,15:23:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3518833:2024-11-29T10:03:28Z,17:16:00,17:16:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12261F3517348:2024-11-29T10:03:28Z,15:07:00,15:07:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3517348:2024-11-29T10:03:28Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F3517349:2024-12-07T00:26:03Z,15:07:00,15:07:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3517349:2024-12-07T00:26:03Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F3517350:2024-11-29T10:03:28Z,15:07:00,15:07:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3517350:2024-11-29T10:03:28Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F3517351:2024-11-29T10:03:28Z,15:07:00,15:07:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3517351:2024-11-29T10:03:28Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12263F3517565:2024-11-29T10:03:28Z,16:11:00,16:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12263F3517565:2024-11-29T10:03:28Z,18:14:00,18:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12263F3517567:2024-12-17T00:21:46Z,16:11:00,16:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12263F3517567:2024-12-17T00:21:46Z,18:14:00,18:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12263F3532568:2024-12-14T00:25:12Z,16:11:00,16:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12263F3532568:2024-12-14T00:25:12Z,18:14:00,18:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12265F3517551:2024-11-29T10:03:28Z,14:05:00,14:05:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12265F3517551:2024-11-29T10:03:28Z,14:14:00,14:17:00,StopPoint:OCETGV INOUI-87393702,1,,0,1,
OCESN12265F3517551:2024-11-29T10:03:28Z,16:14:00,16:14:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12265F3517552:2024-11-29T10:03:28Z,14:05:00,14:05:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12265F3517552:2024-11-29T10:03:28Z,14:14:00,14:17:00,StopPoint:OCETGV INOUI-87393702,1,,0,1,
OCESN12265F3517552:2024-11-29T10:03:28Z,16:14:00,16:14:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12265F3586449:2024-12-20T00:22:47Z,14:05:00,14:05:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
