route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000001,OCESN12221F3520741:2024-11-29T10:03:28Z,12221,1,1,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000002,OCESN12221F3520742:2024-11-29T10:03:28Z,12221,1,2,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000003,OCESN12221F3635069:2024-12-04T00:26:30Z,12221,1,3,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12250F3497111:2024-12-05T00:26:54Z,12250,0,4,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12250F3506671:2024-11-29T10:03:28Z,12250,0,5,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000006,OCESN12250F3515501:2024-12-18T00:22:08Z,12250,0,6,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000007,OCESN12250F3515502:2024-12-07T00:26:03Z,12250,0,7,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000008,OCESN12251F3516694:2024-11-29T10:03:28Z,12251,1,8,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12251F3516695:2024-12-12T00:26:49Z,12251,1,9,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12251F3516696:2024-12-12T00:26:49Z,12251,1,10,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000011,OCESN12252F3512853:2024-11-29T10:03:28Z,12252,1,11,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000012,OCESN12252F3512854:2024-11-29T10:03:28Z,12252,1,12,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000013,OCESN12252F3523226:2024-12-17T00:21:46Z,12252,1,13,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000014,OCESN12254F3517435:2024-12-12T00:26:49Z,12254,0,14,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000015,OCESN12254F3517437:2024-12-12T00:26:49Z,12254,0,15,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000016,OCESN12254F3532180:2024-12-05T00:26:54Z,12254,0,16,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000017,OCESN12254F3601754:2024-12-05T00:26:54Z,12254,0,17,
